id,Indicativo,HoraDespegue,RutaSACTA,TipoAeronave,Estela,ProcDesp,PistaDesp
831,ANE003,02/05/2023 18:20:14,DR24LB F34BL BL800 NITBA BL804 BL806 BL836 SENIA DORMI CRETA NEXAS DISVU ADUXO MD001 SIRGU RUDBI MD570 MD575 YAYHO FA32RM TH32RM,CRJX,Media,SENIA5Q,LEBL-24L
832,VLG7SA,02/05/2023 18:22:44,DR24LB F34BL BL800 BL805 BL811 BL827 AGENA DCT MAROT DCT LUMAS **,A320,Media,AGENA5Q,LEBL-24L
833,VLG1517,02/05/2023 18:24:25,DR24LB F34BL BL800 BL805 BL812 DALIN PIVUS DIBER **,A320,Media,DALIN4Q,LEBL-24L
834,VLG7364,02/05/2023 18:33:44,DR24LB F34BL BL800 NITBA BL804 BL807 BL808 LOTOS DCT TORDU DCT DIKUT DCT SOPET DCT VLC DCT SERRA DCT ASTRO DCT POBOS DCT XEBAR DCT YES DCT MAMIS DCT BAZAS DCT VIBAS DCT MGA DCT BRIKE VJF LINTO **,A320,Media,LOTOS5Q,LEBL-24L
835,VLG2JU,02/05/2023 18:35:09,DR24LB F34BL PERAL BL801 BL802 BL803 DUQQI VLA BL814 LRD LOBAR DIRMU VAKIN ELSAP YAKXU VASUM DGO RATAS NEDUS NUBLO SUSOS ROVAK LARVO BISMU LOMDA GALZO LRA 07LRA ENONU IF21CO FA21CO TH21CO,A20N,Media,LOBAR6Q,LEBL-24L
836,RAM961U,02/05/2023 18:38:51,DR24LB F34BL BL800 NITBA BL804 BL807 BL808 LOTOS DCT TORDU DCT 4005N00021E DCT 4001N00014E/N0452F370 000(DIKUT) 015(SOPET) 030(VLC) 021(SERRA) ASTRO DCT POBOS DCT XEBAR DCT YES DCT MAMIS DCT BAZAS DCT VIBAS DCT MGA DCT PIMOS GALTO **,B738,Media,LOTOS5Q,LEBL-24L
837,AUA34R,02/05/2023 18:40:16,DR24LB F34BL BL800 BL805 BL811 BL827 AGENA DCT MAROT DCT LUMAS **,A320,Media,AGENA5Q,LEBL-24L
838,AEA7708,02/05/2023 18:41:47,DR24LB F34BL BL800 NITBA BL804 BL806 BL836 SENIA DORMI CRETA NEXAS DISVU ADUXO MD001 SIRGU RUDBI MD570 MD575 YAYHO FA32RM TH32RM,B788,Pesada,SENIA5Q,LEBL-24L
839,EWG9SJ,02/05/2023 18:44:28,DR24LB F34BL BL800 BL805 BL811 BL827 AGENA MAROT LUMAS **,A320,Media,AGENA5Q,LEBL-24L
840,SAS51B,02/05/2023 18:45:43,DR24LB F34BL PERAL BL801 BL802 BL803 DUQQI BL815 BL816 OLOXO **,A20N,Media,OLOXO1Q,LEBL-24L
